date,open,high,low,close,volume,open_interest
2019-10-24,47020.0,47490.0,47010.0,47360.0,205300,227330
2019-10-25,47480.0,47570.0,47260.0,47390.0,127902,223990
2019-10-28,47440.0,47670.0,47330.0,47430.0,136876,228020
2019-10-29,47510.0,47590.0,47320.0,47340.0,90468,225278
2019-10-30,47440.0,47610.0,47390.0,47510.0,108792,227878
2019-10-31,47460.0,47580.0,47250.0,47330.0,120708,214220
2019-11-01,47130.0,47210.0,46780.0,47120.0,164794,198560
2019-11-04,47030.0,47120.0,46940.0,47040.0,73194,197072
2019-11-05,47060.0,47270.0,47020.0,47250.0,79978,194910
2019-11-06,47300.0,47630.0,47160.0,47190.0,118704,191240
2019-11-07,47290.0,47330.0,47060.0,47150.0,77960,183112
2019-11-08,47450.0,47620.0,47330.0,47340.0,123526,177384
2019-11-11,47440.0,47450.0,47150.0,47170.0,107900,173284
2019-11-12,47120.0,47330.0,47120.0,47270.0,103628,181034
2019-11-13,47060.0,47120.0,46970.0,47030.0,117050,194458
2019-11-14,46980.0,47080.0,46850.0,47030.0,118708,202024
2019-11-15,47050.0,47060.0,46700.0,46930.0,122646,207336
2019-11-18,46890.0,47030.0,46750.0,46980.0,91148,210710
2019-11-19,46940.0,46980.0,46790.0,46890.0,95720,215004
2019-11-20,46940.0,47240.0,46900.0,47050.0,143922,213068
2019-11-21,47180.0,47240.0,46980.0,47110.0,99816,209436
2019-11-22,46940.0,47010.0,46840.0,46870.0,113266,219294
2019-11-25,47010.0,47180.0,46950.0,47100.0,116940,215450
2019-11-26,47180.0,47220.0,47010.0,47070.0,83032,212682
2019-11-27,47140.0,47410.0,47100.0,47380.0,165848,222726
2019-11-28,47480.0,47520.0,47290.0,47350.0,107478,222580
2019-11-29,47290.0,47370.0,47200.0,47320.0,84278,210438
2019-12-02,47260.0,47380.0,47060.0,47300.0,99282,203326
2019-12-03,47250.0,47250.0,47040.0,47080.0,93878,197074
2019-12-04,46980.0,47120.0,46910.0,46980.0,91244,196966
2019-12-05,47030.0,47290.0,47030.0,47200.0,76992,192648
2019-12-06,47250.0,47370.0,47180.0,47320.0,67804,188640
2019-12-09,47270.0,48340.0,47260.0,48340.0,199968,185692
2019-12-10,48350.0,48800.0,48290.0,48690.0,256536,266810
2019-12-11,48750.0,49060.0,48590.0,49000.0,220182,284916
2019-12-12,48980.0,49360.0,48950.0,49030.0,221996,281032
